Surname;First name;City;Class;Time;Pl;Points;ZL1;ZL2;ZL3;ZL4;ZL5;ZL6;ZL7;ZL8;ZL9;ZL10;ZL11;ZL12;Sum;Average
Zorman;Jernej;OK Komenda;B;;;;373;;;;;;;;;;;;373;373
Lapajne;Janko;OK Azimut;B;;;;142;224;;;;;;;;;;;366;183
Kacin;Emil;OK Azimut;B;;;;;360;;;;;;;;;;;360;360
Žurbi;Domen;OK Komenda;B;0:36:00;6;357;;;;;;;;;;;;357;357;357
Korelc;Andrej;OK Komenda;B;;;;;;;;216;;;;;133;;;349;174
Kurinčič;Simon;OK Komenda;B;;;;344;;;;;;;;;;;;344;344
Gantar;Lara;OK Azimut;B;;;;;;;330;;;;;;;;;330;330
Jeram;Nuša;OK Azimut;B;;;;;;;;;;;327;;;;;327;327
Podobnik;Primož;OK Azimut;B;0:38:48;12;320;;;;;;;;;;;;320;320;320
Zupan;Aleš;OK Polaris;B;0:38:58;14;313;;;;;;;;;;;;313;313;313
Kacin;Vojko;OK Azimut;B;;;;;306;;;;;;;;;;;306;306
Žvanut;Tilen;PD Ajdovščina;B;;;;;;;;;;305;;;;;;305;305
Bogataj;Natasa;OK Azimut;B;;;;;121;;-;;;;175;;;;;296;148
Seljak;Luka;OK Komenda;B;0:40:19;17;295;;;;;;;;;;;;295;295;295
Jeraj;Blaž;OK Komenda;B;0:40:49;19;287;;;;;;;;;;;;287;287;287
Tozan;Uroš;PD Ajdovščina;B;;;;;;;;;;;;283;;;;283;283
Foški;Mojca;OK Polaris;B;0:42:23;20;275;;;;;;;;;;;;275;275;275
Šorli C K;Blaž;Planinsko društvo Tolmin;B;;;;;;;;;;;247;;;;;247;247
Ongaro;Marco;US Primiero ASD;B;;;;;246;;;;;;;;;;;246;246
Šuc;Timotej;Posameznikibrez kluba;B;0:47:05;23;243;;-;;;;;;;;;;243;243;243
Obid;Marko;OK Azimut;B;;;;;;;;;;242;;;;;;242;242
Obid;Maja;OK Azimut;B;;;;;;;;;;239;;;;;;239;239
Istenič;Maja;OK Azimut;B;;;;;231;;;;;;;;;;;231;231
Pia Pogačar;Ana;OK Komenda;B;;;;;227;;;;;;;;;;;227;227
Rajgelj;Chiara;SSDAŠZ GAJA;B;;;;;;;;;;;;;107;115;;222;111
Pretnar;Tanja;Kamniški OK;B;;;;;216;;;;;;;;;;;216;216
Rejec;Pavel;OK Azimut;B;;;;;;;;;;;212;;;;;212;212
Vidič;Matej;OK Azimut;B;;;;-;198;;;;;;;;;;;198;198
Obid;Aljaž;OK Azimut;B;;;;194;;;;;;;;;;;;194;194
Rejec;Marjana;OK Azimut;B;;;;;;;;;;;191;;;;;191;191
Malus;Marta;OK Komenda;B;0:54:40;31;190;;;;;;;;;;;;190;190;190
Razpet;Deja;OK Azimut;B;;;;190;;;;;;;;;;;;190;190
Poljanšek;Marjanca;OK Azimut;B;;;;;;;184;;;;;;;;;184;184
Raiger;Chiara;ind.;B;;;;;;;;;;;166;;;;;166;166
Kavčič;Lucija;OK Komenda;B;;;;156;;;;;;;;;;;;156;156
Prosen;Maja;OK Komenda;B;;;;;;;;;;;;;139;-;;139;139
Pretnar;Irma;Kamniški OK;B;;;;;139;;;;;;;;;;;139;139
Boncina;Abigael;OK Azimut;B;1:15:50;34;131;;;;;;;;;;;;131;131;131
Šorli B D;Blaž;Planinsko društvo Tolmin;B;;;;;;;;;;;126;;;;;126;126
Veselič;Aleš;ind.;B;;;;;;;;125;;;;;;;;125;125
Cerar;Tinkara;ind.;B;;;;;;;;;;;;;;108;;108;108
Fon;Jure;ind.;B;;;;;;;;;;;107;;;;;107;107
Valič;Jakob;PD Ajdovščina;B;;;;87;;;;;;;;;;;;87;87
Krivičić;Dragan;OK Perkmandeljc;B;;;;;;;;60;;;;;;;;60;60
Foški;Valter;OK Polaris;B;mp;;;;;;;;;;;;;;-;0;0
Mavri;Blaž;OK Azimut;B;mp;;;;;;;;;;;;;;-;0;0
Bogataj;Rok;OK Azimut;C;;;;125;104;;108;;;107;112;;;;;556;111
Obid;Aljaž;OK Azimut;C;;;;;122;;104;;;106;100;;97;;;529;106
Obid;Neža;OK Azimut;C;;;;130;113;;82;;106;-;90;;;;;521;104
Gantar;Primož;OK Azimut;C;;;;69;93;;98;;79;108;106;;104;;;509;102
