Surname;First name;City;Class;Time;Pl;Points;ZL1;ZL2;ZL3;ZL4;ZL5;ZL6;ZL7;ZL8;ZL9;ZL10;ZL11;ZL12;ZL13;ZL14;ZL15;ZL16;ZL17;ZL18;ZL19;ZL20;Sum;Average
Toffanin;Fabio;SSD Gaja  Sezione Orientamento;A;;;;;;;;;;;;;;;;;610;;;;;;;610;610
Sergas;Mauro;PUNTO K ORIENTEERING ASD;A;;;;;;;;;;;;;;;;;607;;;;;;;607;607
Kroboth;Alexander;Schulsportverein Graz;A;;;;;;;;;;;;;;;;;;;;604;;;;604;604
Čižman;Bernard;IndividualsNo Club;A;;;;;;;;;;;;;;;;;;603;;;;;;603;603
Pišljar;Jaka;OK Komenda;A;;;;;;;;;;;;;;601;;;;;;;;;;601;601
Ongaro;Marco;US Primiero;A;;;;;;;;;;;;;;;;;589;;;;;;;589;589
Ruini;Cristina;PUNTO K ORIENTEERING ASD;A;;;;;;;;;;;;;;;;;575;;;;;;;575;575
Prebil;Nuša;Rod sivega volka;A;;;;;;;;;;;;;;;;;;557;;;;;;557;557
Zupin;Maddalena;PUNTO K ORIENTEERING ASD;A;;;;;;;;;;;;;;;;;557;;;;;;;557;557
Proske;Herwig;OCFF;A;;;;;;;;;;;;;;;;;;;;553;;;;553;553
Mikložič;Primož;Mariborski OK;A;;;;;;;;;;;;;;;;;;;;552;;;;552;552
Plavčak;Luka;ŠOK;A;;;;;-;;;;;;;;;;529;;;;;;;;;529;529
Vukajlovič;Vladan;OK Azimut;A;;;;;;;515;;;;;;;;;;;;;;;;;515;515
Smrekar;Peter;OK Tivoli;A;;;;488;;;;;;;;;;;;;;;;;;;;488;488
Vanek;Nicolas;RAJ Cerkno;A;;;;;;;;;;;;;;;;;;487;;;;;;487;487
Makuc;Blaž;RAJ Cerkno;A;;;;;;;;;;;;;;;;;;487;;;;;;487;487
Černigoj;Jernej;ind.;A;;;;;;;479;;;;;;;;;;;;;;;;;479;479
Muszynski;Krzysztof;Mariborski OK;A;;;;;;;;;;;;;;;;;;;;449;;;;449;449
Lemut;Gal;ind.;A;;;;;;;442;;;;;;;;;;;;;;;;;442;442
Siega;Gianfranco;SSD Gaja;A;1:40:30;42;437;;;;;;;;;;;;;;-;;;;;;437;437;437
Lipužič;Marjeta;OK Komenda;A;;;;;;;;;;;;;;318;;;;;;;;;;318;318
Strnad;Andreja;OK Tivoli;A;;;;;;;;;;;;;;;;;;257;;;;;;257;257
Pečar;Matic;OK RJZ;A;;;;;;;;;;;;;;;;;;238;;;;;;238;238
Čopi;Gašper;OK Azimut;A;;;;;;;;209;;;;;;;;;;;;;;;;209;209
Planko;Primož;Feštival Tim;A;;;;;;;;;;;;;;;;;;123;;;;;;123;123
Kunšek;Ana;Feštival Tim;A;;;;;;;;;;;;;;;;;;123;;;;;;123;123
Pogačar;Aljoša;OK Komenda;B;0:41:34;7;384;;191;287;;348;;;;308;;360;278;-;;;;;;;384;1687;337
Zavrl;Zala;OK Komenda;B;;;;;221;339;;304;;230;;289;;356;323;327;261;;218;;300;187;;1649;330
Seljak;Borut;OK Komenda;B;0:43:07;9;369;;;292;;;;305;199;316;;;;315;;;256;;323;;369;1628;326
Kavšek;Iztok;OK Komenda;B;;;;;;300;;;;291;;;;;354;322;;;;309;;218;;1576;315
Zupan;Gregor;OK Komenda;B;0:52:11;23;284;;231;196;;;;158;;;251;282;331;333;;;256;;300;316;284;1564;313
Pogačar;Ana Pia;OK Komenda;B;0:46:39;18;323;;267;258;;321;;178;;281;;350;273;257;;;;;;;323;1548;310
Golja;Elio;OK Polaris;B;;;;;324;261;;285;;355;321;;;;;;;;;;;;;1546;309
Dobravec;Pia;OK Azimut;B;;;;;;214;;242;161;;;226;;302;;;;;309;;342;;;1421;284
Soban;Matic;PD Ajdovščina;B;0:41:30;6;388;;;;345;;;216;;330;;;;;138;;;;;;388;1417;283
Foški;Brina;OK Polaris;B;;;;;303;;306;260;;234;;313;;;;;;;;;;;;1416;283
Boncina;Igor;OK Azimut;B;;;;;;;;;268;247;;;318;;;-;;;334;;;243;;1410;282
Šumečki;Janez;Rod Jezerski zmaj Velenje;B;;;;;129;;;278;275;270;;;223;;308;-;;;;194;;257;;1388;278
Humar;Anja;OK Azimut;B;;;;;;162;;;-;;;254;;305;;;;;309;;323;;;1353;271
Primožič;Patricija;OK Komenda;B;mp;;;;175;239;;294;;173;;;;345;;-;;;;;288;;-;1341;268
Jezeršek;Polona;OK Komenda;B;;;;;-;220;;328;236;242;;;;;240;-;;;;;288;;;1334;267
Zavrl;Janez;OK Komenda;B;;;;;;;;246;;264;;197;;-;236;-;;;256;;313;;;1315;263
Jamsek;Klara;OK Komenda;B;;;;;216;224;;316;233;;;;;;;-;;;218;;270;;;1261;252
Zupan;Romana;OK Komenda;B;;;;;;;;;;144;;;232;123;314;275;;;;;243;166;;1230;246
Korelc;Mihala;OK Komenda;B;0:44:49;12;350;;211;232;;;-;203;;-;;161;;-;;;218;;-;;350;1214;243
Ravnikar;Nika;OK Komenda;B;;;;;;186;;254;-;-;;261;;;262;238;;;;;;;;1201;240
Nelson;Charles;OK Azimut;B;;;;;;;285;311;264;;;;;;;;;;334;;;;;1194;298
Lapajne;Janko;OK Azimut;B;;;;;;;;;221;;-;;;;;;286;;345;;323;;;1175;294
Foschian;Andrea;Semiperdo Orienteering Maniago;B;0:38:09;2;422;;;;321;;;;;;;;;;419;;;;;;422;1162;387
Dovč;Katja;OK Tivoli;B;;;;;255;;;;;;230;;;;;;201;;;164;;214;;1064;213
Foški;Tajda;OK Polaris;B;;;;;335;250;;;;366;;;;;;;;;;;;;;951;317
Kunc;Gregor;OK Tivoli;B;;;;;207;;;;;106;;;282;321;;-;;;;;;;;916;229
Rodman;Maks;PD Ajdovščina;B;0:39:17;4;408;;;;-;-;-;-;;271;;;-;;208;;;;;;408;887;296
Mosca;Massimo;G O Cai XXX Ottobre ASD;B;0:35:46;1;444;;;;;;;;;-;;;;;390;;;;;;444;834;417
Pretnar;Irma;Kamniški OK;B;;;;;166;169;;;;165;;155;;;;;;;176;;;;;831;166
Ruzzier;Fiorenzo;SSD Gaja;B;0:56:07;27;257;;;;221;;;;;;;;;;308;;;;;;257;786;262
Predonzani;Livio;G O Cai XXX Ottobre ASD;B;;;;;;;;;;;;342;;;;;441;;;;;;;783;392
Simonelli;Maria Elena;SEMIPERDO MANIAGO;B;0:53:53;25;271;;;;239;;;;;;;;;;267;;;;;;271;777;259
Hacin Kölner;Irena;OK Komenda;B;;;;;;;;;;;;;;316;221;220;;;;;;;;757;252
Močnik;Nejc;OK Azimut;B;0:49:14;20;305;;;;;;;;;;;;;;424;;;;;;305;729;364
Felchero;Mauro;FRIULI MTB ORIENTEERING ASD;B;0:45:53;16;333;;;;;;;;;;;;;;353;;;;;;333;686;343
Kos;Virgil;OK Tivoli;B;;;;;;369;;;;;;;;;;;;;;;;310;;679;340
Gantar;Tjaž;OK Azimut;B;;;;;;;;;298;;;363;;;;;;;;;;;;661;330
Vuga Seljak;Alenka;OK Komenda;B;0:50:09;22;295;;;137;;;;-;218;;;;;-;;;;;;;295;650;217
Visintin;Federica;Semiperdo Orienteering Maniago;B;0:57:11;29;248;;;;206;;;;;;;;;;171;;;;;;248;625;208
Di Bartolomeo;Antonio;PUNTO K ORIENTEERING ASD;B;0:45:02;13;346;;;;;;;;;;;;;;271;;;;;;346;617;308
Kenda;Klemen;OK Azimut;B;;;;;;;;;345;;;;;;;-;;;;;;266;;611;306
Sedej;Vlado;OK Azimut;B;;;;;;;;;194;;;;;;;;;;;;251;163;;608;203
Ghersi;Giorgio;Orienteering Trieste;B;0:49:25;21;301;;;;;;;;;;;;;;303;;;;;;301;604;302
Mantovani;Antonella;SCI CLUB UDINE ASD;B;0:44:31;11;355;;;;;;;;;;;;;;246;;;;;;355;601;300
Erznožnik;Matic;OK Azimut;B;;;;;;126;;161;307;-;;;;;;;;;;;;;;594;198
Černe;Aljaž;OK Tivoli;B;;;;;285;;;;;;;;;;;288;;;;;;;;573;286
Tadina;Elisabetta;ORIENTEERING TRIESTE  ASD;B;0:45:08;14;343;;;;;;;;;;;;;;229;;;;;;343;572;286
De Cristini;Chiara;SSD Gaja  Sezione Orientamento;B;0:38:42;3;415;;;;;;;;;;;;;;151;;;;;;415;566;283
Lipužič;Marjeta;OK Komenda;B;0:46:01;17;329;;;;;236;;;;;;;;;;;;;;;329;565;282
Kušar;Barbara;Druzina KUSAR;B;;;;;;;177;;;;159;223;;;;;;;;;;;;559;186
K U S A R;Barbara;Druzina KUSAR;B;;;;;;;;;;;;;-;333;161;;;;;;;;;494;247
Poljanšek;Nika;OK Azimut;B;0:53:35;24;275;;;;;;;;;;;;;216;;;;;;;275;491;246
Fontanot;Luca;PUNTO K ORIENTEERING ASD;B;0:58:14;31;238;;;;;;;;;;;;;;242;;;;;;238;480;240
Čopi;Gašper;OK Azimut;B;;;;;238;;;;239;;;-;;;;;;;;;;;;477;238
Covacich;Roberto;SSD Gaja  Sezione Orientamento;B;1:02:40;33;219;;;;;;;;;;;;;;257;;;;;;219;476;238
Grad;Jaka;OK Tivoli;B;;;;;;-;;;;196;;;268;;;-;;;;;;;;464;232
Lunardis;Sara;PUNTO K ORIENTEERING ASD;B;1:06:13;35;204;;;;;;;;;;;;;;252;;;;;;204;456;228
Sepin;Claudio;SSD Gaja  Sezione Orientamento;B;0:55:42;26;262;;;;;;;;;;;;;;179;;;;;;262;441;220
